timesteps,betas,alpha_bars,snr_linear,snr_db,mse_to_x0,kl_to_unit
0,4.130602e-05,0.9999587,24208.547,43.839687,4.112465e-05,14377.24
1,4.6133995e-05,0.99991256,11435.412,40.58252,8.719586e-05,13225.572
2,5.096197e-05,0.9998616,7224.33,38.58798,0.00013796943,12520.349
3,5.5849552e-05,0.99980575,5146.9644,37.115513,0.0001938571,11999.754
4,6.067753e-05,0.9997451,3921.66,35.9347,0.00025520055,11582.307
5,6.556511e-05,0.99967957,3119.762,34.941216,0.00032070704,11231.121
6,7.045269e-05,0.9996091,2557.2825,34.07779,0.0003909755,10925.944
7,7.534027e-05,0.99953383,2144.1497,33.312553,0.00046528195,10655.504
8,8.016825e-05,0.99945366,1829.3749,32.623028,0.0005472946,10411.854
9,8.499622e-05,0.9993687,1583.1012,31.995087,0.00063072226,10189.996
10,8.98242e-05,0.99927896,1385.8906,31.417292,0.0007187232,9985.884
11,9.471178e-05,0.9991843,1224.9565,30.881207,0.0008176427,9796.538
12,9.9658966e-05,0.9990847,1091.5511,30.380442,0.0009145488,9619.696
13,0.00010442734,0.9989804,979.7796,29.911285,0.0010151064,9454.047
14,0.00010931492,0.9988712,884.9022,29.468954,0.0011304938,9297.896
15,0.000114142895,0.9987572,803.624,29.050531,0.0012454552,9150.215
16,0.00011909008,0.9986383,733.3612,28.65318,0.0013638719,9010.0
17,0.00012385845,0.99851453,672.18896,28.274916,0.0014885801,8876.546
18,0.00012880564,0.99838597,618.56555,27.913857,0.0016157129,8749.192
19,0.00013363361,0.9982525,571.2497,27.568262,0.0017535998,8627.32
20,0.00013846159,0.9981143,529.30365,27.23705,0.0018887079,8510.547
21,0.00014340878,0.9979712,491.89664,26.918737,0.002035429,8398.35
22,0.00014817715,0.9978233,458.4106,26.612547,0.0021842467,8290.452
23,0.00015312433,0.9976705,428.27145,26.317192,0.0023278557,8186.4
24,0.00015801191,0.9975129,401.07098,26.032211,0.0024931873,8086.03
25,0.00016278028,0.99735045,376.4232,25.756763,0.002639228,7989.044
26,0.00016772747,0.9971832,354.01324,25.490196,0.002823343,7895.211
27,0.00017261505,0.99701107,333.56738,25.231836,0.002990231,7804.294
28,0.00017744303,0.99683416,314.87183,24.981339,0.0031707454,7716.172
29,0.000182271,0.9966525,297.72897,24.738213,0.0033513738,7630.6675
30,0.00018721819,0.99646586,281.9544,24.501791,0.0035246299,7547.549
31,0.00019204617,0.99627453,267.42258,24.271982,0.0037160013,7466.782
32,0.00019699335,0.99607825,253.98839,24.04814,0.003893923,7388.1387
33,0.00020182133,0.9958772,241.55397,23.830143,0.004128684,7311.575
34,0.00020670891,0.99567133,230.01794,23.617619,0.004325441,7236.96
35,0.00021153688,0.99546075,219.30064,23.4104,0.004564752,7164.2344
36,0.00021648407,0.9952452,209.31459,23.207996,0.0047587594,7093.2246
37,0.00022131205,0.995025,200.00418,23.010391,0.0049518356,7023.925
38,0.00022619963,0.9947999,191.30444,22.817251,0.005202694,6956.217
39,0.00023108721,0.99457,183.16263,22.628368,0.0054265102,6890.028
40,0.00023597479,0.9943353,175.53166,22.443554,0.0056358054,6825.2915
41,0.00024086237,0.9940958,168.37102,22.262676,0.0059304535,6761.958
42,0.00024574995,0.99385154,161.64243,22.085554,0.0061443006,6699.967
43,0.00025069714,0.9936024,155.3085,21.911953,0.006403423,6639.235
44,0.0002554655,0.99334854,149.34291,21.741848,0.0066210493,6579.751
45,0.0002604127,0.99308985,143.71475,21.575014,0.0069036456,6521.4375
46,0.00026530027,0.9928264,138.40007,21.411364,0.0071713654,6464.2627
47,0.00027018785,0.9925581,133.37468,21.250734,0.0074306037,6408.169
